1. MEN I TRUST    Album: "Husk" [Single]    Label: Indie
2. MJ LENDERMAN    Album: Manning Fireworks    Label: Anti-
3. NADA SURF    Album: Moon Mirror    Label: New West
4. MAGDALENA BAY    Album: Imaginal Disk    Label: Mom+Pop
5. BOYGENIUS    Album: The Rest [EP]    Label: Interscope
6. JAY SOM    Album: "If I Could" [Single]    Label: A24
7. CHIME SCHOOL    Album: The Boy Who Ran The Paisley Hotel    Label: Slumberland
8. JESSICA PRATT    Album: Here In The Pitch    Label: Mexican Summer
9. LINKIN PARK    Album: "The Emptiness Machine" [Single]    Label: Warner
10. JAMIE XX     Album: In Waves     Label: Young
11. SOCCER MOMMY     Album: "Driver" [Single]     Label: Loma Vista/Concord
12. SEA LEMON     Album: "Crystals" feat. Benjamin Gibbard [Single]     Label: Luminelle
13. NILUFER YANYA     Album: My Method Actor     Label: Ninja Tune
14. CHAPPELL ROAN     Album: "Good Luck, Babe!" [Single]     Label: Amusement/Island
15. LUNAR VACATION     Album: Everything Matters, Everything's Fire     Label: Keeled Scales
16. NEGATIVLAND     Album: Live at the Art House Cinema 7-31-24     Label: Bootleg
17. GINGER ROOT     Album: SHINBANGUMI     Label: Ghostly International/Secretly Group
18. JOE GODDARD     Album: Harmonics     Label: Domino
19. CHARLI XCX     Album: Brat     Label: Atlantic
20. LEY SOUL     Album: "Into Sands" [Single]     Label: Ley Soul
21. REGRETSKI     Album: Endless Stasis With The Tantalizing Promise Of Change [EP]     Label: Stiltfisher
22. LINDA LINDAS, THE     Album: "No Obligation" [Single]     Label: Epitaph
23. UNKNOWN MORTAL ORCHESTRA     Album: II     Label: Jagjaguwar
24. JENNIFER KNAPP     Album: Kansas 25     Label: Graylin
25. THE THE     Album: Ensoulment     Label: earMUSIC
26. LEMON TWIGS, THE     Album: A Dream Is All We Know     Label: Captured Tracks
27. MOONBEAR     Album: "Ugly / Pins and Needles" [Single]     Label: Ugly Owl
28. CLAIRO     Album: Charm     Label: Virgin
29. VANISHING TWIN     Album: Afternoon X     Label: Fire
30. OSEES     Album: SORCS 80     Label: Castle Face

Request a song: 1-541-346-0645 Office: 1-541-346-4091 
Contact Us
