"Name","URL","Type","StartDate","MinPrice","MaxPrice","PostalCode","City","State","Country","Address","Segment","Genre","SubGenre"
"CPS GOLDEN TICKETS","https://www.ticketweb.com/event/cps-golden-tickets-the-big-dirty-tickets/13621313","event","2024-03-09","0","0","97401","Eugene","Oregon","United States Of America","844 Olive St","Miscellaneous",NA,NA
"VIP Passes to The Liberty","https://www.ticketweb.com/event/vip-passes-to-the-liberty-the-liberty-tickets/13684763","event","2024-06-12","65","300","88201","Roswell","New Mexico","United States Of America","312 N Virginia Ave","Miscellaneous",NA,NA
"Sabrebucks",NA,"event","2024-06-30",NA,NA,"14203","Buffalo","New York","United States Of America","One Seymour H. Knox III Plaza",NA,NA,NA
"Half Share Discount Card 2023-24",NA,"event","2024-07-01",NA,NA,"14203","Buffalo","New York","United States Of America","One Seymour H. Knox III Plaza",NA,NA,NA
"Half Member Discount Card 2023-24",NA,"event","2024-07-01",NA,NA,"14203","Buffalo","New York","United States Of America","One Seymour H. Knox III Plaza",NA,NA,NA
"Full Member Discount Card 2023-24",NA,"event","2024-07-01",NA,NA,"14203","Buffalo","New York","United States Of America","One Seymour H. Knox III Plaza",NA,NA,NA
"Full Share Discount Card 2023-24",NA,"event","2024-07-01",NA,NA,"14203","Buffalo","New York","United States Of America","One Seymour H. Knox III Plaza",NA,NA,NA
"Mad Arts","https://www.universe.com/events/mad-arts-tickets-0BYVF9?ref=ticketmaster","event","2024-09-04",NA,NA,"33004","Dania Beach","Florida","United States Of America","481 S Federal Hwy","Arts & Theatre","Multimedia","Multimedia"
"Training Camp Party - Voorhees NJ",NA,"event","2024-09-21",NA,NA,"19145","Philadelphia","Pennsylvania","United States Of America","3601 South Broad St",NA,NA,NA
"Trumbull Town Hall 2024-2025 Series","https://www.ticketmaster.com/trumbull-town-hall-20242025-series-warren-ohio-09-25-2024/event/050060CEAC116889","event","2024-09-25","100","100","44483","Warren","Ohio","United States Of America","1703 Mahoning Ave NW","Miscellaneous","Lecture/Seminar","Lecture/Seminar"
"Warren Civic Music Series 2024-2025","https://www.ticketmaster.com/warren-civic-music-series-20242025-warren-ohio-10-09-2024/event/050060CE9CB057D3","event","2024-10-09","145","145","44483","Warren","Ohio","United States Of America","1703 Mahoning Ave NW","Music","Rock","Oldies & Classics"
"Broadway 2024-25 Season","https://www.ticketmaster.com/broadway-202425-season-davenport-iowa-10-10-2024/event/060060A9C68850CD","event","2024-10-10",NA,NA,"52801","Davenport","Iowa","United States Of America","136 E 3rd St","Arts & Theatre","Theatre","Musical"
"Broadway In Syracuse Season Tickets: Series A","https://www.ticketmaster.com/broadway-in-syracuse-season-tickets-series-syracuse-new-york-10-22-2024/event/00006089EE8649C7","event","2024-10-22","195","487","13202","Syracuse","New York","United States Of America","362 South Salina Street","Arts & Theatre","Theatre","Miscellaneous"
"Broadway In Syracuse Season Tickets: Series B","https://www.ticketmaster.com/broadway-in-syracuse-season-tickets-series-syracuse-new-york-10-23-2024/event/00006089EE8849CC","event","2024-10-23","195","487","13202","Syracuse","New York","United States Of America","362 South Salina Street","Arts & Theatre","Theatre","Miscellaneous"
"Broadway In Syracuse Season Tickets: Series C","https://www.ticketmaster.com/broadway-in-syracuse-season-tickets-series-syracuse-new-york-10-24-2024/event/00006089EE8A49E6","event","2024-10-24","195","487","13202","Syracuse","New York","United States Of America","362 South Salina Street","Arts & Theatre","Theatre","Miscellaneous"
"Broadway In Syracuse Season Tickets: Series D","https://www.ticketmaster.com/broadway-in-syracuse-season-tickets-series-syracuse-new-york-10-25-2024/event/00006089EE8C49F5","event","2024-10-25","235","517","13202","Syracuse","New York","United States Of America","362 South Salina Street","Arts & Theatre","Theatre","Miscellaneous"
"Broadway In Syracuse Season Tickets: Series E","https://www.ticketmaster.com/broadway-in-syracuse-season-tickets-series-syracuse-new-york-10-26-2024/event/00006089EE8E49FB","event","2024-10-26","235","517","13202","Syracuse","New York","United States Of America","362 South Salina Street","Arts & Theatre","Theatre","Miscellaneous"
"Broadway In Syracuse Season Tickets: Series F","https://www.ticketmaster.com/broadway-in-syracuse-season-tickets-series-syracuse-new-york-10-26-2024/event/00006089EE904A2E","event","2024-10-26","235","517","13202","Syracuse","New York","United States Of America","362 South Salina Street","Arts & Theatre","Theatre","Miscellaneous"
"Flyers Banner Event 5:30PM",NA,"event","2024-11-04",NA,NA,"19145","Philadelphia","Pennsylvania","United States Of America","3601 South Broad St",NA,NA,NA
