Age,Ethnicity,Gender,Sexual Orientation,Profession,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q75,Q76,Q77,Q78,Q79,Q81,Q82,Q83,Q84,Q85,Q86,Q52,Q53,Q54,Q55,Q56,Q95,Q96,Q97,Q98,Q99,Q101,Q103,Q104,Q105,Q106,Q100,type_transgression
2,1,2,1,1,5,5,4,5,5,5,5,5,4,3,5,5,5,4,5,5,5,3,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,1,2,7,7,8,8,8,i love taylor swift and her music ,0
2,4,1,1,1,2,4,2,5,4,4,1,3,1,2,5,4,4,1,5,4,4,1,,,,,,,,,,,,,,,,,5,4,5,1,5,5,5,5,5,5,8,8,8,8,8,"I quite happily listen to 80s artists accused of (and in some cases, responsible for) some terrible things. Not only is Taylor Swift extremely unproblematic compared to them, I'm quite happy to separate the art from the artist.",0
2,5,2,5,1,3,4,2,4,4,4,2,5,2,4,5,4,4,2,5,5,5,4,4,2,4,2,4,4,3,4,2,3,4,4,4,3,3,"I enjoy her music and listen to it regularly, but I do not agree with all the things she does and think she should be held accountable. I think loads of people dismiss it because of her celebrity status but I think constructive criticism is not bullying a celebrity. I also think you can separate the artist and the art.",,,,,,,,,,,,,,,,,1
2,1,2,1,1,5,5,5,5,4,5,5,3,4,5,5,5,5,2,5,5,5,5,,,,,,,,,,,,,,,,,2,1,1,1,3,2,1,1,1,3,8,6,7,7,8,,0
2,1,2,1,1,3,4,2,5,3,5,3,4,2,5,5,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,3,4,4,3,4,4,4,4,2,3,7,7,7,6,7,,0
3,5,1,2,5,3,5,4,5,2,4,1,4,3,5,5,5,5,4,5,5,5,4,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,8,8,8,6,8,"I believe her personal life (family, partners, etc) are hers and that is fine. When she decides to he political, then those opinions have to logical and on my side, for me to continue supporting. For example, since the genocide in Gaza began, she hasn’t said anything, which is why I am starting to consume less of her music. Not taking a stance is taking one as well ",0
2,1,1,4,1,5,5,4,5,4,4,1,4,2,2,5,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,3,3,4,2,4,3,3,"I view these actions as bad, and i would not support them or her beliefs in them. It would make me like her less, and make me less willing to spend on her expensive merch. I’d also want to meet her less as I’d like her personality more. However I don’t think I’d stop listening to her music as I don’t see that as supporting her.",,,,,,,,,,,,,,,,,1
2,2,2,1,1,5,5,2,5,4,5,1,4,1,3,5,5,5,1,5,5,5,1,4,1,5,2,5,4,1,2,2,5,1,1,1,1,4,i’m a big believer in separating the art from the artist. However i tend to draw the line when they do something that demonstrates that they are inherently not a good person. I tend to stop supporting then. But i listen almost exclusively to taylor’s music so it would be tough!,,,,,,,,,,,,,,,,,1
2,4,2,1,1,5,5,2,5,4,2,1,2,2,4,4,2,1,1,1,1,3,1,,,,,,,,,,,,,,,,,1,1,4,2,4,4,4,5,4,5,7,5,8,5,8,,0
2,4,2,1,1,4,4,5,5,5,5,1,5,4,5,5,5,5,4,5,4,5,3,5,3,5,2,5,5,1,4,1,5,5,3,5,2,5,,,,,,,,,,,,,,,,,,1
